Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Vector Size (elements);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads)
1.19;1.17;0.93;2048;0;2;1;0;0;0;1;0;0;0;0;0;0;16384;8192;0;2048;1;1;128;1;1
1.25;1.23;0.95;4096;0;2;1;0;0;0;1;0;0;0;0;0;0;32768;16384;0;4096;1;1;128;1;1
1.3;1.28;0.91;8192;0;2;1;0;0;0;1;0;0;0;0;0;0;65536;32768;0;8192;1;1;128;1;1
1.39;1.37;0.94;16384;0;2;1;0;0;0;1;0;0;0;0;0;0;131072;65536;0;16384;1;1;128;1;1
1.37;1.32;1.02;32768;0;2;1;0;0;0;1;0;0;0;0;0;0;262144;131072;0;32768;1;1;128;1;1
2.05;1.59;1.26;65536;0;2;1;0;0;0;1;0;0;0;0;0;0;524288;262144;0;65536;1;1;128;1;1
2.18;1.94;1.37;131072;0;2;1;0;0;0;1;0;0;0;0;0;0;1048576;524288;0;131072;1;1;128;1;1
2.68;2.5;2.12;262144;0;2;1;0;0;0;1;0;0;0;0;0;0;2097152;1048576;0;262144;1;1;128;1;1
3.72;3.4;2.67;524288;0;2;1;0;0;0;1;0;0;0;0;0;0;4194304;2097152;0;524288;1;1;128;1;1
5.73;5.04;4.35;1048576;0;2;1;0;0;0;1;0;0;0;0;0;0;8388608;4194304;0;1048576;1;1;128;1;1
9.66;8.42;7.66;2097152;0;2;1;0;0;0;1;0;0;0;0;0;0;16777216;8388608;0;2097152;1;1;128;1;1
18.25;14.78;14.8;4194304;0;2;1;0;0;0;1;0;0;0;0;0;0;33554432;16777216;0;4194304;1;1;128;1;1
35.07;30.55;28.94;8388608;0;2;1;0;0;0;1;0;0;0;0;0;0;67108864;33554432;0;8388608;1;1;128;1;1
72.45;66.03;58.42;16777216;0;2;1;0;0;0;1;0;0;0;0;0;0;134217728;67108864;0;16777216;1;1;128;1;1
